subject,test_rmse,persistence_rmse,skill,test_windows,epochs,val_subjects
001,13.76107120513916,13.753034591674805,-0.0005843520141525939,2802,43,033;021;029;038
002,16.630847930908203,19.01071548461914,0.1251855857627452,2718,59,033;021;029;038
003,16.9903621673584,19.7705135345459,0.14062110032344977,2815,45,033;021;029;038
004,13.680368423461914,15.153373718261719,0.09720642559119679,2838,44,033;021;029;038
005,18.050634384155273,21.37763214111328,0.1556298534373016,2838,53,033;021;029;038
006,11.325003623962402,12.022163391113281,0.057989543518117186,2838,44,033;021;029;038
008,18.966516494750977,21.0373592376709,0.09843643964646155,2775,60,033;021;029;038
009,15.400616645812988,17.120161056518555,0.10043973330793196,2782,48,033;021;029;038
010,16.981401443481445,18.660234451293945,0.08996848416854086,2838,44,033;021;029;038
011,15.825248718261719,18.047409057617188,0.12312905039505223,2838,44,033;021;029;038
012,17.976940155029297,20.358375549316406,0.11697570803320176,2820,58,033;021;029;038
013,17.823579788208008,19.853933334350586,0.10226454939433743,2838,44,033;021;029;038
014,16.875959396362305,19.30561637878418,0.1258523392753176,2838,44,033;021;029;038
015,14.33479118347168,15.632084846496582,0.08298916464208216,2748,50,033;021;029;038
016,13.623329162597656,14.951048851013184,0.08880445122253428,2838,44,033;021;029;038
017,14.19365119934082,14.855080604553223,0.04452546726738514,2814,68,033;021;029;038
018,17.520597457885742,18.480867385864258,0.05196021961139183,2754,73,033;021;029;038
019,15.130620956420898,15.912022590637207,0.049107624738799274,2816,49,033;021;029;038
020,19.29572296142578,21.336658477783203,0.09565394311778229,2838,44,033;021;029;038
021,16.795982360839844,18.579713821411133,0.09600424838168009,2838,44,033;020;029;038
022,15.726103782653809,16.91716957092285,0.07040573680340954,2838,44,033;020;029;038
023,22.251493453979492,25.922252655029297,0.1416064896018064,2819,61,033;020;029;038
026,23.571693420410156,26.133399963378906,0.09802423513811845,2731,58,033;020;029;038
027,13.862521171569824,14.573140144348145,0.048762241064011,2808,43,033;020;029;038
028,17.0596923828125,18.24247932434082,0.06483696215295338,2812,47,033;020;029;038
029,14.4061279296875,16.165142059326172,0.10881525959889984,2838,47,033;020;028;038
030,25.50655746459961,27.353221893310547,0.06751177012761901,2808,57,033;020;028;038
031,13.947356224060059,14.478545188903809,0.03668800683447444,2717,52,033;020;028;038
032,21.573101043701172,23.771350860595703,0.09247475373973946,2697,61,033;020;028;038
033,25.90589714050293,29.540681838989258,0.12304335825075503,2772,40,032;020;028;038
034,14.137077331542969,14.542203903198242,0.027858677704702975,2838,68,032;020;028;038
035,25.63490104675293,26.735260009765625,0.04115759347807972,2820,52,032;020;028;038
036,21.733427047729492,23.463600158691406,0.07373860359280891,2838,49,032;020;028;038
038,19.006502151489258,20.53399658203125,0.0743885596961023,2820,61,032;020;028;036
039,29.290363311767578,27.809986114501953,-0.05323185675715455,2838,45,032;020;028;036
041,20.774805068969727,23.80573272705078,0.12731923410351365,2832,56,032;020;028;036
042,19.71260643005371,22.587312698364258,0.12727084034741012,2838,41,032;020;028;036
043,14.663931846618652,16.518970489501953,0.11229747302122763,2815,67,032;020;028;036
044,15.16398811340332,17.212982177734375,0.11903771485812051,2811,54,032;020;028;036
045,25.09612464904785,28.569604873657227,0.12157956821489393,2699,48,032;020;028;036
046,25.490596771240234,23.769615173339844,-0.07240258562665562,2792,39,032;020;028;036
047,22.4409122467041,24.050983428955078,0.06694408929293948,2777,57,032;020;028;036
048,19.60988998413086,20.47247314453125,0.04213380348874996,2815,52,032;020;028;036
049,22.661495208740234,27.079957962036133,0.16316357505023527,2838,60,032;020;028;036
