rung,seed,rmse,persistence,skill,b1_rmse,delta,params,ladder
"T,M",42,16.572261810302734,19.11260414123535,0.13291450564038215,17.254837036132812,0.6825752258300781,17230,2
"T,M",43,15.64603042602539,17.97795867919922,0.1297104023201425,16.307798385620117,0.6617679595947266,17230,2
"T,M",44,18.099027633666992,20.755931854248047,0.12800698321994514,20.3840389251709,2.2850112915039062,17230,2
"T,M",45,16.214237213134766,18.384902954101562,0.11806783785511005,16.87846565246582,0.6642284393310547,17230,2
"T,M",46,15.111603736877441,16.996112823486328,0.11087882895227373,15.564866065979004,0.4532623291015625,17230,2
"T,M",47,17.700361251831055,19.918912887573242,0.11137915248006679,18.21786117553711,0.5174999237060547,17230,2
"T,M",48,16.543285369873047,18.424585342407227,0.10210813093329471,17.026798248291016,0.48351287841796875,17230,2
"T,M",49,18.081472396850586,20.035024642944336,0.09750685516534793,19.05434799194336,0.9728755950927734,17230,2
"T,M",50,18.456565856933594,20.844676971435547,0.1145669524058586,19.20254898071289,0.7459831237792969,17230,2
"T,M",51,15.702155113220215,17.95376968383789,0.125411799876468,16.01685905456543,0.31470394134521484,17230,2
"T,M",52,17.857135772705078,20.654285430908203,0.13542708449343482,18.649375915527344,0.7922401428222656,17230,2
"T,M,Y",42,16.422231674194336,19.11260414123535,0.1407643064838323,17.254837036132812,0.8326053619384766,17234,2
"T,M,Y",43,15.591781616210938,17.97795867919922,0.13272792009190262,16.307798385620117,0.7160167694091797,17234,2
"T,M,Y",44,18.04322624206543,20.755931854248047,0.13069543835621222,20.3840389251709,2.3408126831054688,17234,2
"T,M,Y",45,16.011281967163086,18.384902954101562,0.1291070718656655,16.87846565246582,0.8671836853027344,17234,2
"T,M,Y",46,15.054677963256836,16.996112823486328,0.11422816972282579,15.564866065979004,0.510188102722168,17234,2
"T,M,Y",47,17.562999725341797,19.918912887573242,0.11827518778402923,18.21786117553711,0.6548614501953125,17234,2
"T,M,Y",48,16.517763137817383,18.424585342407227,0.10349335787769277,17.026798248291016,0.5090351104736328,17234,2
"T,M,Y",49,17.97878646850586,20.035024642944336,0.10263217595605079,19.05434799194336,1.0755615234375,17234,2
"T,M,Y",50,18.50731658935547,20.844676971435547,0.11213224293583797,19.20254898071289,0.6952323913574219,17234,2
"T,M,Y",51,15.755532264709473,17.95376968383789,0.12243876677928461,16.01685905456543,0.26132678985595703,17234,2
"T,M,Y",52,17.70411491394043,20.654285430908203,0.14283575807241322,18.649375915527344,0.9452610015869141,17234,2
"T,M,Y,I",42,16.403575897216797,19.11260414123535,0.14174040460419726,17.254837036132812,0.8512611389160156,17237,2
"T,M,Y,I",43,15.573409080505371,17.97795867919922,0.1337498679133104,16.307798385620117,0.7343893051147461,17237,2
"T,M,Y,I",44,18.013172149658203,20.755931854248047,0.13214341441521416,20.3840389251709,2.3708667755126953,17237,2
"T,M,Y,I",45,15.90317153930664,18.384902954101562,0.13498746340900658,16.87846565246582,0.9752941131591797,17237,2
"T,M,Y,I",46,15.122410774230957,16.996112823486328,0.11024297548002673,15.564866065979004,0.4424552917480469,17237,2
"T,M,Y,I",47,17.54266929626465,19.918912887573242,0.11929584735475471,18.21786117553711,0.6751918792724609,17237,2
"T,M,Y,I",48,16.51116943359375,18.424585342407227,0.103851233189462,17.026798248291016,0.5156288146972656,17237,2
