architecture,split,ph,seed,rmse,mae,nrmse,persistence_rmse,persistence_mae,persistence_nrmse,skill,pred_std,actual_std,dispersion_ratio,split_range,n_test,lag_min,persistence_lag_min,params,best_epoch,p2_A,p2_AB,p2_DE,persistence_p2_A,persistence_p2_AB,persistence_p2_DE,p1_A,p1_AB,p1_DE,persistence_p1_A,persistence_p1_AB,persistence_p1_DE
LSTM,pooled,30,42,17.254837036132812,11.59858512878418,0.0479301028781467,19.11260414123535,12.406909942626953,0.053090567058987084,0.09720115016113452,25.74571990966797,29.574790954589844,0.8705292344093323,274.0,22430,25.0,30.0,17217,27,95.79135086937137,99.92866696388765,0.0,93.12527864467232,99.95095853767276,0.0,89.49621043245654,99.79045920641998,0.004458314757021846,87.30717788675881,99.82166740971913,0.0
LSTM,pooled,30,43,16.307798385620117,10.765989303588867,0.04529943996005588,17.97795867919922,11.506531715393066,0.04993877410888672,0.09290044122259015,25.06968116760254,28.56932258605957,0.877503514289856,311.0,22658,25.0,30.0,17217,25,96.88410274516727,99.97351928678613,0.0,94.69503045282019,99.97793273898843,0.0,91.6982964074499,99.88525024273987,0.0,89.6681083943861,99.91614440815607,0.0
LSTM,pooled,30,44,20.3840389251709,12.912073135375977,0.05662233034769694,20.755931854248047,13.514228820800781,0.05765536626180013,0.017917428698872626,35.639503479003906,42.97486877441406,0.8293103575706482,360.0,22525,25.0,30.0,17217,23,95.16093229744727,99.83573806881242,0.0,94.04217536071032,99.94672586015538,0.0,88.63485016648168,99.66703662597114,0.0,87.96448390677025,99.80022197558269,0.0
LSTM,pooled,30,45,16.87846565246582,11.2152099609375,0.04688462681240506,18.384902954101562,11.780583381652832,0.05106917487250434,0.08193882259790036,25.385454177856445,29.157039642333984,0.8706458210945129,307.0,22537,25.0,30.0,17217,40,95.75364955406664,99.89350845276655,0.008874295602786528,92.86506633535963,99.85357412255402,0.013311443404179793,90.3137063495585,99.61840528908017,0.03106003460975285,88.32142698673293,99.63171673248436,0.022185739006966323
LSTM,pooled,30,46,15.564866065979004,10.526062965393066,0.0432357390721639,16.996112823486328,11.107176780700684,0.04721142450968425,0.08421024103402837,18.917997360229492,21.67938232421875,0.8726262450218201,205.0,22365,25.0,30.0,17217,45,96.10552202101498,99.88821819807735,0.008942544153811759,93.15448245025709,99.87033310976972,0.01341381623071764,90.68634026380505,99.7048960429242,0.02682763246143528,88.57142857142857,99.6914822266935,0.0223563603845294
LSTM,pooled,30,47,18.21786117553711,11.975385665893555,0.05060516993204753,19.918912887573242,12.858047485351562,0.05533031357659234,0.08539882279907772,24.1299991607666,27.128841400146484,0.8894592523574829,253.0,22416,25.0,30.0,17217,44,94.53069236259815,99.8750892219843,0.008922198429693077,91.47483940042827,99.84386152748037,0.013383297644539615,88.60635260528194,99.56281227694504,0.031227694503925766,86.45610278372591,99.5405067808708,0.02230549607423269
LSTM,pooled,30,48,17.026798248291016,11.757438659667969,0.047296661800808375,18.424585342407227,12.259320259094238,0.05117940372890896,0.07586532169595009,31.245817184448242,35.006256103515625,0.8925780653953552,311.0,22586,25.0,30.0,17217,54,97.16195873549987,99.91144957053042,0.008855042946958293,94.70025679624545,99.94244222084477,0.004427521473479147,91.62312937217746,99.75205879748518,0.013282564420437439,89.74143274594881,99.88045692021606,0.022137607367395732
LSTM,pooled,30,49,19.05434799194336,12.830510139465332,0.05292874442206489,20.035024642944336,13.346933364868164,0.05565284623040093,0.04894811304094592,43.60777282714844,50.25693893432617,0.8676965832710266,360.0,22402,25.0,30.0,17217,38,96.75475403981787,99.95089724131773,0.008927774305865548,94.52727435050441,99.94196946701187,0.004463887152932774,91.04097848406393,99.8214445138827,0.017855548611731095,90.12141773055977,99.85269172395321,0.02231943576466387
LSTM,pooled,30,50,19.20254898071289,12.903050422668457,0.053340413835313585,20.844676971435547,13.584358215332031,0.05790188047620985,0.07877924867691365,36.06827926635742,41.51832580566406,0.8687315583229065,342.0,22286,25.0,30.0,17217,35,95.77313111370367,99.93269317060037,0.008974243919949745,92.66804271740106,99.90128331688055,0.004487121959974872,89.50462173561877,99.70384995064165,0.01794848783989949,87.44503275599031,99.71282419456162,0.02243560979987436
LSTM,pooled,30,51,16.01685905456543,10.919129371643066,0.044491275151570635,17.95376968383789,11.705757141113281,0.04987158245510525,0.10788322805633858,25.60565948486328,29.08127784729004,0.8804860711097717,269.0,22580,25.0,30.0,17217,49,96.26660761736049,99.9689991142604,0.0,93.61824623560673,99.9734278122232,0.0,91.27989371124889,99.83170947741364,0.0044286979627989375,88.83082373782108,99.88485385296723,0.0044286979627989375
LSTM,pooled,30,52,18.649375915527344,12.338314056396484,0.05180382198757595,20.654285430908203,13.360759735107422,0.05737301508585612,0.09706990455262146,37.13216781616211,41.39702224731445,0.8969767689704895,360.0,22436,25.0,30.0,17217,68,96.14904617578891,99.90640042788375,0.0,93.65305758602247,99.91085755036549,0.0,90.18541629523979,99.68354430379746,0.004457122481725798,88.13513995364593,99.75040114102336,0.0
BiLSTM,pooled,30,42,17.220500946044922,11.76319694519043,0.047834724850124785,19.11260414123535,12.406909942626953,0.053090567058987084,0.09899766568744163,24.818641662597656,29.574790954589844,0.8391823172569275,274.0,22430,25.0,30.0,34433,52,96.13018279090504,99.91083370485957,0.0,93.12527864467232,99.95095853767276,0.0,89.42041908158716,99.75479268836379,0.004458314757021846,87.30717788675881,99.82166740971913,0.0
BiLSTM,pooled,30,43,16.36110496520996,10.562335014343262,0.04544751379224989,17.97795867919922,11.506531715393066,0.04993877410888672,0.08993533375176699,25.45270347595215,28.56932258605957,0.890910267829895,311.0,22658,25.0,30.0,34433,48,96.30594050666431,99.97351928678613,0.0,94.69503045282019,99.97793273898843,0.0,91.34080677906259,99.89849059934681,0.0,89.6681083943861,99.91614440815607,0.0
BiLSTM,pooled,30,44,19.134510040283203,12.601739883422852,0.053151416778564456,20.755931854248047,13.514228820800781,0.05765536626180013,0.0781184783873239,35.984619140625,42.97486877441406,0.8373410105705261,360.0,22525,25.0,30.0,34433,49,95.56492785793563,99.83573806881243,0.0,94.04217536071032,99.94672586015538,0.0,89.19866814650389,99.64483906770256,0.0,87.96448390677025,99.80022197558269,0.0
BiLSTM,pooled,30,45,17.07139015197754,11.053999900817871,0.04742052819993761,18.384902954101562,11.780583381652832,0.05106917487250434,0.07144518550917815,26.26421546936035,29.157039642333984,0.9007847309112549,307.0,22537,25.0,30.0,34433,63,95.2522518525092,99.8624484181568,0.008874295602786528,92.86506633535963,99.85357412255402,0.013311443404179793,89.96317167324844,99.59178240227182,0.03106003460975285,88.32142698673293,99.63171673248436,0.022185739006966323
BiLSTM,pooled,30,46,15.933574676513672,11.091944694519043,0.04425992965698242,16.996112823486328,11.107176780700684,0.04721142450968425,0.06251653881141411,18.5299015045166,21.67938232421875,0.8547245860099792,205.0,22365,25.0,30.0,34433,54,96.579476861167,99.87480438184663,0.008942544153811759,93.15448245025709,99.87033310976972,0.01341381623071764,90.78917952157389,99.65571205007825,0.035770176615247035,88.57142857142857,99.6914822266935,0.0223563603845294
BiLSTM,pooled,30,47,18.08761215209961,11.757646560668945,0.05024336708916558,19.918912887573242,12.858047485351562,0.05533031357659234,0.09193778525012383,23.090072631835938,27.128841400146484,0.8511263728141785,253.0,22416,25.0,30.0,34433,36,94.11134903640257,99.88847251962883,0.004461099214846539,91.47483940042827,99.84386152748037,0.013383297644539615,88.62419700214133,99.62080656673805,0.02676659528907923,86.45610278372591,99.5405067808708,0.02230549607423269
BiLSTM,pooled,30,48,17.21914291381836,11.974143028259277,0.04783095253838433,18.424585342407227,12.259320259094238,0.05117940372890896,0.06542575619405351,32.222373962402344,35.006256103515625,0.9204747080802917,311.0,22586,25.0,30.0,34433,34,97.31692198707164,99.89816700610999,0.008855042946958293,94.70025679624545,99.94244222084477,0.004427521473479147,91.53900646418136,99.74320375453821,0.022137607367395732,89.74143274594881,99.88045692021606,0.022137607367395732
BiLSTM,pooled,30,49,19.554655075073242,13.305509567260742,0.0543184863196479,20.035024642944336,13.346933364868164,0.05565284623040093,0.023976489993500646,41.95232009887695,50.25693893432617,0.8347567915916443,360.0,22402,25.0,30.0,34433,43,96.79492902419427,99.94643335416481,0.008927774305865548,94.52727435050441,99.94196946701187,0.004463887152932774,90.34907597535934,99.80805285242388,0.02231943576466387,90.12141773055977,99.85269172395321,0.02231943576466387
BiLSTM,pooled,30,50,19.15873146057129,12.60667896270752,0.05321869850158691,20.844676971435547,13.584358215332031,0.05790188047620985,0.08088134506351857,36.86054992675781,41.51832580566406,0.8878139853477478,342.0,22286,25.0,30.0,34433,62,95.32441891770618,99.93718029256036,0.008974243919949745,92.66804271740106,99.90128331688055,0.004487121959974872,89.36103383289958,99.74423404828143,0.02243560979987436,87.44503275599031,99.71282419456162,0.02243560979987436
BiLSTM,pooled,30,51,16.414222717285156,11.823491096496582,0.04559506310356988,17.95376968383789,11.705757141113281,0.04987158245510525,0.08575062472471424,24.627527236938477,29.08127784729004,0.846851646900177,269.0,22580,25.0,30.0,34433,39,96.78919397697076,99.9645704162976,0.0,93.61824623560673,99.9734278122232,0.0,91.30646589902568,99.75642161204605,0.0044286979627989375,88.83082373782108,99.88485385296723,0.0044286979627989375
BiLSTM,pooled,30,52,18.770713806152344,12.397679328918457,0.05214087168375651,20.654285430908203,13.360759735107422,0.05737301508585612,0.0911951968058493,37.85200500488281,41.39702224731445,0.9143654108047485,360.0,22436,25.0,30.0,34433,89,96.20253164556962,99.8974861829203,0.0,93.65305758602247,99.91085755036549,0.0,90.100730968087,99.67463005883403,0.0,88.13513995364593,99.75040114102336,0.0
Attn-LSTM,pooled,30,42,17.170780181884766,11.396461486816406,0.04769661161634657,19.11260414123535,12.406909942626953,0.053090567058987084,0.10159913034357836,25.594026565551758,29.574790954589844,0.8654000759124756,274.0,22430,25.0,30.0,17282,53,95.50601872492199,99.93312527864468,0.0,93.12527864467232,99.95095853767276,0.0,89.52296032099866,99.80383415069105,0.004458314757021846,87.30717788675881,99.82166740971913,0.0
Attn-LSTM,pooled,30,43,16.263559341430664,10.629373550415039,0.04517655372619629,17.97795867919922,11.506531715393066,0.04993877410888672,0.09536117911718986,25.6633243560791,28.56932258605957,0.8982825875282288,311.0,22658,25.0,30.0,17282,51,96.53985347338688,99.96910583458381,0.0,94.69503045282019,99.97793273898843,0.0,91.60120045899903,99.8940771471445,0.004413452202312649,89.6681083943861,99.91614440815607,0.0
Attn-LSTM,pooled,30,44,19.51174545288086,12.619532585144043,0.05419929292466905,20.755931854248047,13.514228820800781,0.05765536626180013,0.05994365418541996,36.54508972167969,42.97486877441406,0.8503828048706055,360.0,22525,25.0,30.0,17282,33,95.4361820199778,99.83573806881243,0.0,94.04217536071032,99.94672586015538,0.0,89.14095449500554,99.68479467258601,0.0,87.96448390677025,99.80022197558269,0.0
Attn-LSTM,pooled,30,45,16.977378845214844,11.238551139831543,0.04715938568115234,18.384902954101562,11.780583381652832,0.05106917487250434,0.07655869124795725,26.600631713867188,29.157039642333984,0.9123227596282959,307.0,22537,25.0,30.0,17282,37,95.02152016683675,99.88907130496516,0.008874295602786528,92.86506633535963,99.85357412255402,0.013311443404179793,90.28264631494875,99.62727958468297,0.026622886808359586,88.32142698673293,99.63171673248436,0.022185739006966323
Attn-LSTM,pooled,30,46,15.792134284973145,10.970282554626465,0.04386703968048096,16.996112823486328,11.107176780700684,0.04721142450968425,0.07083846471349897,18.671825408935547,21.67938232421875,0.86127108335495,205.0,22365,25.0,30.0,17282,51,96.46322378716745,99.87927565392354,0.008942544153811759,93.15448245025709,99.87033310976972,0.01341381623071764,90.81153588195842,99.67806841046279,0.03129890453834116,88.57142857142857,99.6914822266935,0.0223563603845294
Attn-LSTM,pooled,30,47,18.165382385253906,12.116401672363281,0.050459395514594184,19.918912887573242,12.858047485351562,0.05533031357659234,0.08803344400453231,24.00065040588379,27.128841400146484,0.8846912980079651,253.0,22416,25.0,30.0,17282,81,94.63775874375446,99.86616702355461,0.008922198429693077,91.47483940042827,99.84386152748037,0.013383297644539615,88.75802997858672,99.55389007851534,0.02676659528907923,86.45610278372591,99.5405067808708,0.02230549607423269
