ph,seed,rmse,persistence,skill
30,42,17.254837036132812,19.11260414123535,0.09720115016113452
30,43,16.307798385620117,17.97795867919922,0.09290044122259015
30,44,20.3840389251709,20.755931854248047,0.017917428698872626
30,45,16.87846565246582,18.384902954101562,0.08193882259790036
30,46,15.564866065979004,16.996112823486328,0.08421024103402837
30,47,18.21786117553711,19.918912887573242,0.08539882279907772
30,48,17.026798248291016,18.424585342407227,0.07586532169595009
30,49,19.05434799194336,20.035024642944336,0.04894811304094592
30,50,19.20254898071289,20.844676971435547,0.07877924867691365
30,51,16.01685905456543,17.95376968383789,0.10788322805633858
30,52,18.649375915527344,20.654285430908203,0.09706990455262146
60,42,23.784961700439453,26.632230758666992,0.1069106483804758
60,43,22.897212982177734,25.269193649291992,0.0938684747932476
60,44,28.647565841674805,30.721988677978516,0.06752241393118717
60,45,23.120071411132812,24.66033172607422,0.06245902658774196
60,46,20.080602645874023,21.507911682128906,0.06636204655056517
60,47,23.342771530151367,25.743907928466797,0.09327008179905465
60,48,24.20785903930664,26.542678833007812,0.08796473816341584
60,49,37.051490783691406,28.80018424987793,-0.28650186617637524
60,50,27.414382934570312,29.358850479125977,0.06623105172112145
60,51,23.644617080688477,26.590028762817383,0.11077128604868877
60,52,27.006607055664062,29.610858917236328,0.08794921717236456
120,42,27.81414222717285,33.482810974121094,0.16930086160715607
120,43,27.736570358276367,32.99485778808594,0.15936687660791427
120,44,36.736541748046875,41.4400749206543,0.11350204316988619
120,45,27.805688858032227,31.394243240356445,0.11430612787350866
120,46,23.569808959960938,26.58265495300293,0.11333879171845639
120,47,27.191650390625,31.88729476928711,0.1472575335297748
120,48,30.423114776611328,35.67051315307617,0.14710745410210943
120,49,44.46934509277344,40.03920364379883,-0.11064509395307963
120,50,34.350860595703125,38.417484283447266,0.10585346134953207
120,51,29.01787757873535,35.42391586303711,0.18083936030872588
120,52,33.03940200805664,38.85212326049805,0.14961141797754332
