ph,seed,rmse,persistence,skill
30,42,16.508562088012695,19.11260414123535,0.1362473702683167
30,43,15.571388244628906,17.97795867919922,0.13386227421663574
30,44,17.872066497802734,20.755931854248047,0.13894174333854742
30,45,16.104585647583008,18.384902954101562,0.12403205566063809
30,46,15.068581581115723,16.996112823486328,0.11341012279625598
30,47,17.69782257080078,19.918912887573242,0.11150660326237616
30,48,16.433534622192383,18.424585342407227,0.10806488630341719
30,49,18.113643646240234,20.035024642944336,0.09590110473763493
30,50,18.472932815551758,20.844676971435547,0.11378176592200988
30,51,15.732037544250488,17.95376968383789,0.12374739003070877
30,52,17.729450225830078,20.654285430908203,0.14160912101569206
60,42,23.039514541625977,26.632230758666992,0.13490106216024841
60,43,22.142093658447266,25.269193649291992,0.12375147518537236
60,44,26.95627784729004,30.721988677978516,0.12257379788007453
60,45,22.532514572143555,24.66033172607422,0.08628501747528601
60,46,19.636449813842773,21.507911682128906,0.08701271866580823
60,47,23.166248321533203,25.743907928466797,0.10012697427663263
60,48,23.760175704956055,26.542678833007812,0.1048312849489595
60,49,26.82649803161621,28.80018424987793,0.06853033304014658
60,50,26.75010108947754,29.358850479125977,0.08885734104280574
60,51,22.870962142944336,26.590028762817383,0.13986696490805103
60,52,26.16553497314453,29.610858917236328,0.11635339433150625
120,42,27.415271759033203,33.482810974121094,0.18121355521128435
120,43,27.256694793701172,32.99485778808594,0.17391082668817412
120,44,38.95935821533203,41.4400749206543,0.05986274663045656
120,45,27.656068801879883,31.394243240356445,0.11907197156678843
120,46,22.951332092285156,26.58265495300293,0.13660497294712687
120,47,26.95213508605957,31.88729476928711,0.15476884191445858
120,48,29.900493621826172,35.67051315307617,0.16175880359468287
120,49,44.034263610839844,40.03920364379883,-0.09977870695387221
120,50,33.885501861572266,38.417484283447266,0.11796666300264931
120,51,28.939531326293945,35.42391586303711,0.18305103709636064
120,52,32.47920608520508,38.85212326049805,0.16403008743083233
