subject,test_rmse,persistence_rmse,skill,test_windows,epochs,val_subjects
001,13.864252090454102,13.753034591674805,-0.008086760637293878,2802,83,033;021;029;038
002,15.091423034667969,19.01071548461914,0.2061622800636896,2718,65,033;021;029;038
003,15.597614288330078,19.7705135345459,0.21106681113388015,2815,59,033;021;029;038
004,13.177799224853516,15.153373718261719,0.1303719244399937,2838,73,033;021;029;038
005,18.897916793823242,21.37763214111328,0.11599579087718848,2838,73,033;021;029;038
006,10.959904670715332,12.022163391113281,0.08835836661338052,2838,68,033;021;029;038
008,17.05058479309082,21.0373592376709,0.18950926299918355,2775,79,033;021;029;038
009,16.72612190246582,17.120161056518555,0.02301608920336078,2782,54,033;021;029;038
010,16.277307510375977,18.660234451293945,0.12770080392814845,2838,71,033;021;029;038
011,14.6997709274292,18.047409057617188,0.18549134224754915,2838,73,033;021;029;038
012,16.951570510864258,20.358375549316406,0.1673416933585618,2820,50,033;021;029;038
013,18.948650360107422,19.853933334350586,0.04559715996813966,2838,73,033;021;029;038
014,15.670600891113281,19.30561637878418,0.18828797881147075,2838,55,033;021;029;038
015,13.773595809936523,15.632084846496582,0.11888939030270027,2748,67,033;021;029;038
016,13.59177017211914,14.951048851013184,0.09091527239588473,2838,91,033;021;029;038
017,13.403287887573242,14.855080604553223,0.09773038300007557,2814,61,033;021;029;038
018,17.034555435180664,18.480867385864258,0.078259960449143,2754,62,033;021;029;038
019,14.568434715270996,15.912022590637207,0.08443853493249762,2816,77,033;021;029;038
020,17.779888153076172,21.336658477783203,0.16669762645404473,2838,73,033;021;029;038
021,15.893980026245117,18.579713821411133,0.1445519463314335,2838,73,033;020;029;038
022,15.458076477050781,16.91716957092285,0.08624924445871562,2838,72,033;020;029;038
023,20.763338088989258,25.922252655029297,0.19901490177934572,2819,57,033;020;029;038
026,22.559595108032227,26.133399963378906,0.13675238814523566,2731,79,033;020;029;038
027,13.182459831237793,14.573140144348145,0.0954276360026425,2808,89,033;020;029;038
028,15.615365982055664,18.24247932434082,0.14401076167206156,2812,91,033;020;029;038
029,12.245946884155273,16.165142059326172,0.2424473079659571,2838,91,033;020;028;038
030,23.894180297851562,27.353221893310547,0.12645828739849185,2808,72,033;020;028;038
031,14.033255577087402,14.478545188903809,0.030755134995031897,2717,80,033;020;028;038
032,21.173126220703125,23.771350860595703,0.10930067269334257,2697,63,033;020;028;038
033,24.817747116088867,29.540681838989258,0.15987900173200562,2772,77,032;020;028;038
034,14.347885131835938,14.542203903198242,0.013362401782825262,2838,55,032;020;028;038
035,25.221403121948242,26.735260009765625,0.056623982234113836,2820,45,032;020;028;038
036,20.673364639282227,23.463600158691406,0.11891762135980732,2838,57,032;020;028;038
038,18.202411651611328,20.53399658203125,0.11354754643624658,2820,53,032;020;028;036
039,23.68836212158203,27.809986114501953,0.14820661815327685,2838,93,032;020;028;036
041,19.457447052001953,23.80573272705078,0.18265708201066255,2832,56,032;020;028;036
042,19.688777923583984,22.587312698364258,0.1283257912744167,2838,55,032;020;028;036
043,13.924544334411621,16.518970489501953,0.15705737574500347,2815,71,032;020;028;036
044,13.87121868133545,17.212982177734375,0.19414204127403442,2811,70,032;020;028;036
045,24.594717025756836,28.569604873657227,0.13912995526114047,2699,77,032;020;028;036
046,22.69580078125,23.769615173339844,0.04517592667188996,2792,53,032;020;028;036
047,20.957761764526367,24.050983428955078,0.12861102638758498,2777,57,032;020;028;036
048,18.30028533935547,20.47247314453125,0.10610285283270875,2815,92,032;020;028;036
049,21.861488342285156,27.079957962036133,0.19270597196150896,2838,50,032;020;028;036
